Variable_Name ,Source ,Variable_Description 
CAMPAIGN ,Various encyclopedic entries; scholarly works; subject and area experts ,Name of campaign. 
LOCA TION ,Various encyclopedic entries; scholarly works; subject and area experts ,Geographic base of campaign (country). 
LCCODE ,Correlates of War ,Location country code. 
BYEAR ,Various encyclopedic entries; scholarly works; subject and area experts ,Year in which campaign begins. 
EYEAR ,Various encyclopedic entries; scholarly works; subject and area experts ,"Year at which the campaign reaches its peak; i.e. the most members or watershed events. If data is unavailable for membership or events, this peak is considered to be the year prior to the outcome (i.e. if regime changed in 2002, the peak is 2001). "
AMERICAS ,Author’s calculation ,Region dummy. 
ASIA ,Author’s calculation ,Region dummy. 
AFRICA ,Author’s calculation ,Region dummy. 
EUROPE ,Author’s calculation ,Region dummy. 
FSU ,Author’s calculation ,Region dummy. 
MIDDLE EAST ,Author’s calculation ,Region dummy. 
TARGET ,Various encyclopedic entries; scholarly works; subject and area experts ,Target of the campaign. 
TCCODE ,Correlates of War ,Target country code. 
OUTCOME ,Various encyclopedic entries; scholarly works; subject and area experts ,Ordinal measure with result code. Success=5; Limited Success=4; Failure=3. 
SUCCESS ,Various encyclopedic entries; scholarly works; subject and area experts ,"Dichotomous variable identifying whether the campaign achieved 100% of its stated goals within a year of the peak of activities. In most cases, outcome was achieved within a year of the campaign’s peak. Some campaigns’ goals were achieved years after the “peak” of the struggle in terms of membership, but the success was a direct result of campaign activities. When such a direct link can be demonstrated, these campaigns are coded as successful."
LIMITED,Various encyclopedic entries; scholarly works; subject and area experts ,"Dichotomous variable identifying whether the campaign achieved some of its stated goals within a year of the peak of activities. When a regime makes concessions to the campaign or reforms short of complete campaign success, such reforms are counted as limited success. "
FAILURE,Various encyclopedic entries; scholarly works; subject and area experts ,Dichotomous variable identifying whether the campaign achieved none of its stated goals; includes campaigns that have been suppressed. 
ONGOING ,Various encyclopedic entries; scholarly works; subject and area experts ,Dichotomous variable identifying whether the campaign is ongoing and has not yet achieved its goals. Only when campaigns are ongoing and have achieved no stated objectives/outcomes. 
NONVIOL ,Various encyclopedic entries; scholarly works; subject and area experts ,Dichotomous variable identifying that a campaign was primarily nonviolent during the observation. 
VIOL ,Gleditsch 2004; Lyall and Wilson 2008; Sepp 2005 ,Dichotomous variable identifying that a campaign was primarily violent during the observation. 
REGCHANGE ,Various encyclopedic entries; scholarly works; subject and area experts ,"Dichotomous variable identifying purpose of campaign as domestic regime change, excluding expulsion of foreign occupiers. "
